Planet,City/Town,Name,ID Number,Valuation,Annual Profit,Industry,Specialty,Chairperson,CEO,CFO,COO,Other Employees,Link to Mentions
Novum Domitros,,GreenLeaf AgroTech,,,,Agriculture,Hydroponic Farming Solutions,Mira Thalra,Cylen Farros,Dorek Verith,Kirae Zyn,,
Novum Domitros,,TerraForm Agricorp,,,,Agriculture,Eco-Friendly Crop Farming,Helra Xell,Vorin Theron,Lyris Kalvar,Salen Rythos,,
Novum Domitros,,Green Fields Agriculture,,,,Agriculture,Organic Farming & Produce,Nora Daniels,James Whittaker,Lila Hastings,Thomas Reed,,
Novum Domitros,,HarvestFresh Agro,,,,Agriculture,Farm-to-Table Produce,Grace Martin,Jeremy Scott,Olivia Reed,Ethan Palmer,,
Novum Domitros,,Sunrise Agriculture,,,,Agriculture,Organic Crop Farming,Daniel Brooks,Amy Richardson,Peter Hayes,Olivia Carter,,
Novum Domitros,,Riverstone Farms,,,,Agriculture,Sustainable Organic Farming,Emily Turner,Jake Davis,Lisa Garrett,Daniel Collins,,
Novum Domitros,,GreenLand Agriculture,,,,Agriculture,Vertical & Urban Farming,Grace Wilson,Michael Stewart,Jessica Hughes,Noah Parker,,
Novum Domitros,,Sunrise Agriculture,,,,Agriculture,Livestock & Dairy Farming,Rachel Richardson,James Campbell,Brandon Howard,Laura Parker,,
Novum Domitros,,Titan Construction Group,,,,Construction,High-Rise Buildings,William Thompson,Mira Vynes,Korvos Xeltis,Teron Malor,,
Novum Domitros,,Horizon Builders Ltd.,,,,Construction,Commercial Building Projects,David Cross,Sarah Heller,Jon Roberts,Emily Lawrence,,
Novum Domitros,,Titan Construction Group,,,,Construction,Infrastructure & Urban Projects,Eric Hayes,Rebecca Norton,Carter Mills,Sarah Lawrence,,
Novum Domitros,,CityScape Developments,,,,Construction,Urban Residential Developments,Samuel Blake,Rachel Graham,Evan Price,Hannah Bennett,,
Novum Domitros,,StarPath Constructors,,,,Construction,Infrastructure & Civil Engineering,Lucas Everett,Caroline Hughes,Kevin Mason,Rachel Porter,,
Novum Domitros,,Starview Education Group,,,,Education,Vocational & Technical Training,Rilen Valis,Talen Dorr,Kalira Senn,Jarik Rynvar,,
Novum Domitros,,BrightMind Academy,,,,Education,Online Learning & Certification,Daria Ralthor,Varion Telra,Nira Solven,Vora Rylin,,
Novum Domitros,,New Horizon Education,,,,Education,Vocational Training Programs,Angela Carter,Paul Stevens,Lauren Cole,Dylan Summers,,
